,County,Population
1572,".Reynolds County, Missouri",6270
1573,".Ripley County, Missouri",13288
1574,".St. Charles County, Missouri",402022
1575,".St. Clair County, Missouri",9397
1576,".Ste. Genevieve County, Missouri",17894
1577,".St. Francois County, Missouri",67215
1578,".St. Louis County, Missouri",994205
1579,".Saline County, Missouri",22761
1580,".Schuyler County, Missouri",4660
1581,".Scotland County, Missouri",4902
1582,".Scott County, Missouri",38280
1583,".Shannon County, Missouri",8166
1584,".Shelby County, Missouri",5930
1585,".Stoddard County, Missouri",29025
1586,".Stone County, Missouri",31952
1587,".Sullivan County, Missouri",6089
1588,".Taney County, Missouri",55928
1589,".Texas County, Missouri",25398
1590,".Vernon County, Missouri",20563
1591,".Warren County, Missouri",35649
1592,".Washington County, Missouri",24730
1593,".Wayne County, Missouri",12873
1594,".Webster County, Missouri",39592
1595,".Worth County, Missouri",2013
1596,".Wright County, Missouri",18289
1597,".St. Louis city, Missouri",300576
1598,".Beaverhead County, Montana",9453
1599,".Big Horn County, Montana",13319
1600,".Blaine County, Montana",6681
1601,".Broadwater County, Montana",6237
1602,".Carbon County, Montana",10725
1603,".Carter County, Montana",1252
1604,".Cascade County, Montana",81366
1605,".Chouteau County, Montana",5635
1606,".Custer County, Montana",11402
1607,".Daniels County, Montana",1690
1608,".Dawson County, Montana",8613
1609,".Deer Lodge County, Montana",9140
1610,".Fallon County, Montana",2846
1611,".Fergus County, Montana",11050
1612,".Flathead County, Montana",103806
1613,".Gallatin County, Montana",114434
1614,".Garfield County, Montana",1258
1615,".Glacier County, Montana",13753
1616,".Golden Valley County, Montana",821
1617,".Granite County, Montana",3379
1618,".Hill County, Montana",16484
1619,".Jefferson County, Montana",12221
1620,".Judith Basin County, Montana",2007
1621,".Lake County, Montana",30458
1622,".Lewis and Clark County, Montana",69432
1623,".Liberty County, Montana",2337
1624,".Lincoln County, Montana",19980
1625,".McCone County, Montana",1664
1626,".Madison County, Montana",8600
1627,".Meagher County, Montana",1862
1628,".Mineral County, Montana",4397
1629,".Missoula County, Montana",119600
1630,".Musselshell County, Montana",4633
1631,".Park County, Montana",16606
1632,".Petroleum County, Montana",487
1633,".Phillips County, Montana",3954
1634,".Pondera County, Montana",5911
1635,".Powder River County, Montana",1682
1636,".Powell County, Montana",6890
1637,".Prairie County, Montana",1077
1638,".Ravalli County, Montana",43806
1639,".Richland County, Montana",10803
1640,".Roosevelt County, Montana",11004
1641,".Rosebud County, Montana",8937
1642,".Sanders County, Montana",12113
1643,".Sheridan County, Montana",3309
1644,".Silver Bow County, Montana",34915
1645,".Stillwater County, Montana",9642
1646,".Sweet Grass County, Montana",3737
1647,".Teton County, Montana",6147
1648,".Toole County, Montana",4736
1649,".Treasure County, Montana",696
1650,".Valley County, Montana",7396
1651,".Wheatland County, Montana",2126
1652,".Wibaux County, Montana",969
1653,".Yellowstone County, Montana",161300
1654,".Adams County, Nebraska",31363
1655,".Antelope County, Nebraska",6298
1656,".Arthur County, Nebraska",463
1657,".Banner County, Nebraska",745
1658,".Blaine County, Nebraska",465
1659,".Boone County, Nebraska",5192
1660,".Box Butte County, Nebraska",10783
1661,".Boyd County, Nebraska",1919
1662,".Brown County, Nebraska",2955
1663,".Buffalo County, Nebraska",49659
1664,".Burt County, Nebraska",6459
1665,".Butler County, Nebraska",8016
1666,".Cass County, Nebraska",26248
1667,".Cedar County, Nebraska",8402
1668,".Chase County, Nebraska",3924
1669,".Cherry County, Nebraska",5689
1670,".Cheyenne County, Nebraska",8910
1671,".Clay County, Nebraska",6203
1672,".Colfax County, Nebraska",10709
1673,".Cuming County, Nebraska",8846
1674,".Custer County, Nebraska",10777
1675,".Dakota County, Nebraska",20026
1676,".Dawes County, Nebraska",8589
1677,".Dawson County, Nebraska",23595
1678,".Deuel County, Nebraska",1794
1679,".Dixon County, Nebraska",5636
1680,".Dodge County, Nebraska",36565
1681,".Douglas County, Nebraska",571327
1682,".Dundy County, Nebraska",1693
1683,".Fillmore County, Nebraska",5462
1684,".Franklin County, Nebraska",2979
1685,".Frontier County, Nebraska",2627
1686,".Furnas County, Nebraska",4676
1687,".Gage County, Nebraska",21513
1688,".Garden County, Nebraska",1837
1689,".Garfield County, Nebraska",1969
1690,".Gosper County, Nebraska",1990
1691,".Grant County, Nebraska",623
1692,".Greeley County, Nebraska",2356
1693,".Hall County, Nebraska",61353
1694,".Hamilton County, Nebraska",9324
1695,".Harlan County, Nebraska",3380
1696,".Hayes County, Nebraska",922
1697,".Hitchcock County, Nebraska",2762
1698,".Holt County, Nebraska",10067
1699,".Hooker County, Nebraska",682
1700,".Howard County, Nebraska",6445
1701,".Jefferson County, Nebraska",7046
1702,".Johnson County, Nebraska",5071
1703,".Kearney County, Nebraska",6495
1704,".Keith County, Nebraska",8034
1705,".Keya Paha County, Nebraska",806
1706,".Kimball County, Nebraska",3632
1707,".Knox County, Nebraska",8332
1708,".Lancaster County, Nebraska",319090
1709,".Lincoln County, Nebraska",34914
1710,".Logan County, Nebraska",748
1711,".Loup County, Nebraska",664
1712,".McPherson County, Nebraska",494
1713,".Madison County, Nebraska",35099
1714,".Merrick County, Nebraska",7755
1715,".Morrill County, Nebraska",4642
1716,".Nance County, Nebraska",3519
1717,".Nemaha County, Nebraska",6972
1718,".Nuckolls County, Nebraska",4148
1719,".Otoe County, Nebraska",16012
1720,".Pawnee County, Nebraska",2613
1721,".Perkins County, Nebraska",2891
1722,".Phelps County, Nebraska",9034
1723,".Pierce County, Nebraska",7148
1724,".Platte County, Nebraska",33470
1725,".Polk County, Nebraska",5213
1726,".Red Willow County, Nebraska",10724
1727,".Richardson County, Nebraska",7865
1728,".Rock County, Nebraska",1357
1729,".Saline County, Nebraska",14224
1730,".Sarpy County, Nebraska",187196
1731,".Saunders County, Nebraska",21578
1732,".Scotts Bluff County, Nebraska",35618
1733,".Seward County, Nebraska",17284
1734,".Sheridan County, Nebraska",5246
1735,".Sherman County, Nebraska",3001
1736,".Sioux County, Nebraska",1166
1737,".Stanton County, Nebraska",5920
1738,".Thayer County, Nebraska",5003
1739,".Thomas County, Nebraska",722
1740,".Thurston County, Nebraska",7224
1741,".Valley County, Nebraska",4158
1742,".Washington County, Nebraska",20729
1743,".Wayne County, Nebraska",9385
1744,".Webster County, Nebraska",3487
1745,".Wheeler County, Nebraska",783
1746,".York County, Nebraska",13679
1747,".Churchill County, Nevada",24909
1748,".Clark County, Nevada",2266715
1749,".Douglas County, Nevada",48905
1750,".Elko County, Nevada",52778
1751,".Esmeralda County, Nevada",873
1752,".Eureka County, Nevada",2029
1753,".Humboldt County, Nevada",16831
1754,".Lander County, Nevada",5532
1755,".Lincoln County, Nevada",5183
1756,".Lyon County, Nevada",57510
1757,".Mineral County, Nevada",4505
1758,".Nye County, Nevada",46523
1759,".Pershing County, Nevada",6725
1760,".Storey County, Nevada",4123
1761,".Washoe County, Nevada",471519
1762,".White Pine County, Nevada",9580
1763,".Carson City, Nevada",55916
1764,".Belknap County, New Hampshire",61303
1765,".Carroll County, New Hampshire",48910
1766,".Cheshire County, New Hampshire",76085
1767,".Coos County, New Hampshire",31563
1768,".Grafton County, New Hampshire",89886
1769,".Hillsborough County, New Hampshire",417025
1770,".Merrimack County, New Hampshire",151391
1771,".Rockingham County, New Hampshire",309769
1772,".Strafford County, New Hampshire",130633
1773,".Sullivan County, New Hampshire",43146
1774,".Atlantic County, New Jersey",263670
1775,".Bergen County, New Jersey",932202
1776,".Burlington County, New Jersey",445349
1777,".Camden County, New Jersey",506471
1778,".Cape May County, New Jersey",92039
1779,".Cumberland County, New Jersey",149527
1780,".Essex County, New Jersey",798975
1781,".Gloucester County, New Jersey",291636
1782,".Hudson County, New Jersey",672391
1783,".Hunterdon County, New Jersey",124371
1784,".Mercer County, New Jersey",367430
1785,".Middlesex County, New Jersey",825062
1786,".Monmouth County, New Jersey",618795
1787,".Morris County, New Jersey",491845
1788,".Ocean County, New Jersey",607186
1789,".Passaic County, New Jersey",501826
1790,".Salem County, New Jersey",62385
1791,".Somerset County, New Jersey",328934
1792,".Sussex County, New Jersey",140488
1793,".Union County, New Jersey",556341
1794,".Warren County, New Jersey",105267
1795,".Bernalillo County, New Mexico",679121
1796,".Catron County, New Mexico",3527
1797,".Chaves County, New Mexico",64615
1798,".Cibola County, New Mexico",26675
1799,".Colfax County, New Mexico",11941
1800,".Curry County, New Mexico",48954
1801,".De Baca County, New Mexico",1748
1802,".Doña Ana County, New Mexico",218195
1803,".Eddy County, New Mexico",58460
1804,".Grant County, New Mexico",26998
1805,".Guadalupe County, New Mexico",4300
1806,".Harding County, New Mexico",625
1807,".Hidalgo County, New Mexico",4198
1808,".Lea County, New Mexico",71070
1809,".Lincoln County, New Mexico",19572
1810,".Los Alamos County, New Mexico",19369
1811,".Luna County, New Mexico",23709
1812,".McKinley County, New Mexico",71367
1813,".Mora County, New Mexico",4521
1814,".Otero County, New Mexico",67490
1815,".Quay County, New Mexico",8253
1816,".Rio Arriba County, New Mexico",38921
1817,".Roosevelt County, New Mexico",18500
1818,".Sandoval County, New Mexico",146748
1819,".San Juan County, New Mexico",123958
1820,".San Miguel County, New Mexico",27277
1821,".Santa Fe County, New Mexico",150358
1822,".Sierra County, New Mexico",10791
1823,".Socorro County, New Mexico",16637
1824,".Taos County, New Mexico",32723
1825,".Torrance County, New Mexico",15461
1826,".Union County, New Mexico",4059
1827,".Valencia County, New Mexico",76688
1828,".Albany County, New York",305506
1829,".Allegany County, New York",46091
1830,".Bronx County, New York",1418207
1831,".Broome County, New York",190488
1832,".Cattaraugus County, New York",76117
1833,".Cayuga County, New York",76576
1834,".Chautauqua County, New York",126903
1835,".Chemung County, New York",83456
1836,".Chenango County, New York",47207
1837,".Clinton County, New York",80485
1838,".Columbia County, New York",59461
1839,".Cortland County, New York",47581
1840,".Delaware County, New York",44135
1841,".Dutchess County, New York",294218
1842,".Erie County, New York",918702
1843,".Essex County, New York",36885
1844,".Franklin County, New York",50022
1845,".Fulton County, New York",53383
1846,".Genesee County, New York",57280
1847,".Greene County, New York",47188
1848,".Hamilton County, New York",4416
1849,".Herkimer County, New York",61319
1850,".Jefferson County, New York",109834
1851,".Kings County, New York",2559903
1852,".Lewis County, New York",26296
1853,".Livingston County, New York",62914
1854,".Madison County, New York",70941
1855,".Monroe County, New York",741770
1856,".Montgomery County, New York",49221
1857,".Nassau County, New York",1356924
1858,".New York County, New York",1628706
1859,".Niagara County, New York",209281
1860,".Oneida County, New York",228671
1861,".Onondaga County, New York",460528
1862,".Ontario County, New York",109777
1863,".Orange County, New York",384940
1864,".Orleans County, New York",40352
1865,".Oswego County, New York",117124
1866,".Otsego County, New York",59493
1867,".Putnam County, New York",98320
1868,".Queens County, New York",2253858
1869,".Rensselaer County, New York",158714
1870,".Richmond County, New York",476143
1871,".Rockland County, New York",325789
1872,".St. Lawrence County, New York",107740
1873,".Saratoga County, New York",229863
1874,".Schenectady County, New York",155299
1875,".Schoharie County, New York",30999
1876,".Schuyler County, New York",17807
1877,".Seneca County, New York",34016
1878,".Steuben County, New York",95379
1879,".Suffolk County, New York",1476601
1880,".Sullivan County, New York",75432
1881,".Tioga County, New York",48203
1882,".Tompkins County, New York",102180
1883,".Ulster County, New York",177573
1884,".Warren County, New York",63944
1885,".Washington County, New York",61204
1886,".Wayne County, New York",89918
1887,".Westchester County, New York",967506
1888,".Wyoming County, New York",39859
1889,".Yates County, New York",24913
1890,".Alamance County, North Carolina",169509
1891,".Alexander County, North Carolina",37497
1892,".Alleghany County, North Carolina",11137
1893,".Anson County, North Carolina",24446
1894,".Ashe County, North Carolina",27203
1895,".Avery County, North Carolina",17557
1896,".Beaufort County, North Carolina",46994
1897,".Bertie County, North Carolina",18947
1898,".Bladen County, North Carolina",32722
1899,".Brunswick County, North Carolina",142820
1900,".Buncombe County, North Carolina",261191
1901,".Burke County, North Carolina",90485
1902,".Cabarrus County, North Carolina",216453
1903,".Caldwell County, North Carolina",82178
1904,".Camden County, North Carolina",10867
1905,".Carteret County, North Carolina",69473
1906,".Caswell County, North Carolina",22604
1907,".Catawba County, North Carolina",159551
1908,".Chatham County, North Carolina",74470
1909,".Cherokee County, North Carolina",28612
1910,".Chowan County, North Carolina",13943
1911,".Clay County, North Carolina",11231
1912,".Cleveland County, North Carolina",97947
1913,".Columbus County, North Carolina",55508
1914,".Craven County, North Carolina",102139
1915,".Cumberland County, North Carolina",335509
1916,".Currituck County, North Carolina",27763
1917,".Dare County, North Carolina",37009
1918,".Davidson County, North Carolina",167609
1919,".Davie County, North Carolina",42846
1920,".Duplin County, North Carolina",58741
1921,".Durham County, North Carolina",321488
1922,".Edgecombe County, North Carolina",51472
1923,".Forsyth County, North Carolina",382295
1924,".Franklin County, North Carolina",69685
1925,".Gaston County, North Carolina",224529
1926,".Gates County, North Carolina",11562
1927,".Graham County, North Carolina",8441
1928,".Granville County, North Carolina",60443
1929,".Greene County, North Carolina",21069
1930,".Guilford County, North Carolina",537174
1931,".Halifax County, North Carolina",50010
1932,".Harnett County, North Carolina",135976
1933,".Haywood County, North Carolina",62317
1934,".Henderson County, North Carolina",117417
1935,".Hertford County, North Carolina",23677
1936,".Hoke County, North Carolina",55234
1937,".Hyde County, North Carolina",4937
1938,".Iredell County, North Carolina",181806
1939,".Jackson County, North Carolina",43938
1940,".Johnston County, North Carolina",209339
1941,".Jones County, North Carolina",9419
1942,".Lee County, North Carolina",61779
1943,".Lenoir County, North Carolina",55949
1944,".Lincoln County, North Carolina",86111
1945,".McDowell County, North Carolina",45756
1946,".Macon County, North Carolina",35858
1947,".Madison County, North Carolina",21755
1948,".Martin County, North Carolina",22440
1949,".Mecklenburg County, North Carolina",1110356
1950,".Mitchell County, North Carolina",14964
1951,".Montgomery County, North Carolina",27173
1952,".Moore County, North Carolina",100880
1953,".Nash County, North Carolina",94298
1954,".New Hanover County, North Carolina",234473
1955,".Northampton County, North Carolina",19483
1956,".Onslow County, North Carolina",197938
1957,".Orange County, North Carolina",148476
1958,".Pamlico County, North Carolina",12726
1959,".Pasquotank County, North Carolina",39824
1960,".Pender County, North Carolina",63060
1961,".Perquimans County, North Carolina",13463
1962,".Person County, North Carolina",39490
1963,".Pitt County, North Carolina",180742
1964,".Polk County, North Carolina",20724
1965,".Randolph County, North Carolina",143667
1966,".Richmond County, North Carolina",44829
1967,".Robeson County, North Carolina",130625
1968,".Rockingham County, North Carolina",91010
1969,".Rowan County, North Carolina",142088
1970,".Rutherford County, North Carolina",67029
1971,".Sampson County, North Carolina",63531
1972,".Scotland County, North Carolina",34823
1973,".Stanly County, North Carolina",62806
1974,".Stokes County, North Carolina",45591
1975,".Surry County, North Carolina",71783
1976,".Swain County, North Carolina",14271
1977,".Transylvania County, North Carolina",34385
1978,".Tyrrell County, North Carolina",4016
1979,".Union County, North Carolina",239859
1980,".Vance County, North Carolina",44535
1981,".Wake County, North Carolina",1111761
1982,".Warren County, North Carolina",19731
1983,".Washington County, North Carolina",11580
1984,".Watauga County, North Carolina",56177
1985,".Wayne County, North Carolina",123131
1986,".Wilkes County, North Carolina",68412
1987,".Wilson County, North Carolina",81801
1988,".Yadkin County, North Carolina",37667
1989,".Yancey County, North Carolina",18069
1990,".Adams County, North Dakota",2216
1991,".Barnes County, North Dakota",10415
1992,".Benson County, North Dakota",6832
1993,".Billings County, North Dakota",928
1994,"Bottineau County, North Dakota",6282
1995,".Bowman County, North Dakota",3024
1996,".Burke County, North Dakota",2115
1997,".Burleigh County, North Dakota",95626
1998,".Cass County, North Dakota",181923
1999,".Cavalier County, North Dakota",3762
2000,".Dickey County, North Dakota",4872
2001,".Divide County, North Dakota",2264
2002,".Dunn County, North Dakota",4424
2003,".Eddy County, North Dakota",2287
2004,".Emmons County, North Dakota",3241
2005,".Foster County, North Dakota",3210
2006,".Golden Valley County, North Dakota",1761
2007,".Grand Forks County, North Dakota",69451
2008,".Grant County, North Dakota",2274
2009,".Griggs County, North Dakota",2231
2010,".Hettinger County, North Dakota",2499
2011,".Kidder County, North Dakota",2480
2012,".LaMoure County, North Dakota",4046
2013,".Logan County, North Dakota",1850
2014,".McHenry County, North Dakota",5745
2015,".McIntosh County, North Dakota",2497
2016,".McKenzie County, North Dakota",15024
2017,".McLean County, North Dakota",9450
2018,".Mercer County, North Dakota",8187
2019,".Morton County, North Dakota",31364
2020,".Mountrail County, North Dakota",10545
2021,".Nelson County, North Dakota",2879
2022,".Oliver County, North Dakota",1959
2023,".Pembina County, North Dakota",6801
2024,".Pierce County, North Dakota",3975
2025,".Ramsey County, North Dakota",11519
2026,".Ransom County, North Dakota",5218
2027,".Renville County, North Dakota",2327
2028,".Richland County, North Dakota",16177
2029,".Rolette County, North Dakota",14176
2030,".Sargent County, North Dakota",3898
2031,".Sheridan County, North Dakota",1315
2032,".Sioux County, North Dakota",4230
2033,".Slope County, North Dakota",750
2034,".Stark County, North Dakota",31489
2035,".Steele County, North Dakota",1890
2036,".Stutsman County, North Dakota",20704
2037,".Towner County, North Dakota",2189
2038,".Traill County, North Dakota",8036
2039,".Walsh County, North Dakota",10641
2040,".Ward County, North Dakota",67641
2041,".Wells County, North Dakota",3834
2042,".Williams County, North Dakota",37589
2043,".Adams County, Ohio",27698
2044,".Allen County, Ohio",102351
2045,".Ashland County, Ohio",53484
2046,".Ashtabula County, Ohio",97241
2047,".Athens County, Ohio",65327
2048,".Auglaize County, Ohio",45656
2049,".Belmont County, Ohio",67006
2050,".Brown County, Ohio",43432
2051,".Butler County, Ohio",383134
2052,".Carroll County, Ohio",26914
2053,".Champaign County, Ohio",38885
2054,".Clark County, Ohio",134083
2055,".Clermont County, Ohio",206428
2056,".Clinton County, Ohio",41968
2057,".Columbiana County, Ohio",101883
2058,".Coshocton County, Ohio",36600
2059,".Crawford County, Ohio",41494
2060,".Cuyahoga County, Ohio",1235072
2061,".Darke County, Ohio",51113
2062,".Defiance County, Ohio",38087
2063,".Delaware County, Ohio",209177
2064,".Erie County, Ohio",74266
2065,".Fairfield County, Ohio",157574
2066,".Fayette County, Ohio",28525
2067,".Franklin County, Ohio",1316756
2068,".Fulton County, Ohio",42126
2069,".Gallia County, Ohio",29898
2070,".Geauga County, Ohio",93649
2071,".Greene County, Ohio",168937
2072,".Guernsey County, Ohio",38875
2073,".Hamilton County, Ohio",817473
2074,".Hancock County, Ohio",75783
2075,".Hardin County, Ohio",31365
2076,".Harrison County, Ohio",15040
2077,".Henry County, Ohio",27006
2078,".Highland County, Ohio",43161
2079,".Hocking County, Ohio",28264
2080,".Holmes County, Ohio",43960
2081,".Huron County, Ohio",58266
2082,".Jackson County, Ohio",32413
2083,".Jefferson County, Ohio",65325
2084,".Knox County, Ohio",62322
2085,".Lake County, Ohio",230149
2086,".Lawrence County, Ohio",59463
2087,".Licking County, Ohio",176862
2088,".Logan County, Ohio",45672
2089,".Lorain County, Ohio",309833
2090,".Lucas County, Ohio",428348
2091,".Madison County, Ohio",44731
2092,".Mahoning County, Ohio",228683
2093,".Marion County, Ohio",65093
2094,".Medina County, Ohio",179746
2095,".Meigs County, Ohio",22907
2096,".Mercer County, Ohio",41172
2097,".Miami County, Ohio",106987
2098,".Monroe County, Ohio",13654
2099,".Montgomery County, Ohio",531687
2100,".Morgan County, Ohio",14508
2101,".Morrow County, Ohio",35328
2102,".Muskingum County, Ohio",86215
2103,".Noble County, Ohio",14424
2104,".Ottawa County, Ohio",40525
2105,".Paulding County, Ohio",18672
2106,".Perry County, Ohio",36134
2107,".Pickaway County, Ohio",58457
2108,".Pike County, Ohio",27772
2109,".Portage County, Ohio",162466
2110,".Preble County, Ohio",40882
2111,".Putnam County, Ohio",33861
2112,".Richland County, Ohio",121154
2113,".Ross County, Ohio",76666
2114,".Sandusky County, Ohio",58518
2115,".Scioto County, Ohio",75314
2116,".Seneca County, Ohio",55178
2117,".Shelby County, Ohio",48590
2118,".Stark County, Ohio",370606
2119,".Summit County, Ohio",541013
2120,".Trumbull County, Ohio",197974
2121,".Tuscarawas County, Ohio",91987
2122,".Union County, Ohio",58988
2123,".Van Wert County, Ohio",28275
2124,".Vinton County, Ohio",13085
2125,".Warren County, Ohio",234602
2126,".Washington County, Ohio",59911
2127,".Wayne County, Ohio",115710
2128,".Williams County, Ohio",36692
2129,".Wood County, Ohio",130817
2130,".Wyandot County, Ohio",21772
2131,".Adair County, Oklahoma",22194
2132,".Alfalfa County, Oklahoma",5702
2133,".Atoka County, Oklahoma",13758
2134,".Beaver County, Oklahoma",5311
2135,".Beckham County, Oklahoma",21859
2136,".Blaine County, Oklahoma",9429
2137,".Bryan County, Oklahoma",47995
2138,".Caddo County, Oklahoma",28762
2139,".Canadian County, Oklahoma",148306
2140,".Carter County, Oklahoma",48111
2141,".Cherokee County, Oklahoma",48657
2142,".Choctaw County, Oklahoma",14672
2143,".Cimarron County, Oklahoma",2137
2144,".Cleveland County, Oklahoma",284014
2145,".Coal County, Oklahoma",5495
2146,".Comanche County, Oklahoma",120749
2147,".Cotton County, Oklahoma",5666
2148,".Craig County, Oklahoma",14142
2149,".Creek County, Oklahoma",71522
2150,".Custer County, Oklahoma",29003
2151,".Delaware County, Oklahoma",43009
2152,".Dewey County, Oklahoma",4891
2153,".Ellis County, Oklahoma",3859
2154,".Garfield County, Oklahoma",61056
2155,".Garvin County, Oklahoma",27711
2156,".Grady County, Oklahoma",55834
2157,".Grant County, Oklahoma",4333
2158,".Greer County, Oklahoma",5712
2159,".Harmon County, Oklahoma",2653
2160,".Harper County, Oklahoma",3688
2161,".Haskell County, Oklahoma",12627
2162,".Hughes County, Oklahoma",13279
2163,".Jackson County, Oklahoma",24530
2164,".Jefferson County, Oklahoma",6002
2165,".Johnston County, Oklahoma",11085
2166,".Kay County, Oklahoma",43538
2167,".Kingfisher County, Oklahoma",15765
2168,".Kiowa County, Oklahoma",8708
2169,".Latimer County, Oklahoma",10073
2170,".Le Flore County, Oklahoma",49853
2171,".Lincoln County, Oklahoma",34877
2172,".Logan County, Oklahoma",48011
2173,".Love County, Oklahoma",10253
2174,".McClain County, Oklahoma",40474
2175,".McCurtain County, Oklahoma",32832
2176,".McIntosh County, Oklahoma",19596
2177,".Major County, Oklahoma",7629
2178,".Marshall County, Oklahoma",16931
2179,".Mayes County, Oklahoma",41100
2180,".Murray County, Oklahoma",14073
2181,".Muskogee County, Oklahoma",67997
2182,".Noble County, Oklahoma",11131
2183,".Nowata County, Oklahoma",10076
2184,".Okfuskee County, Oklahoma",11993
2185,".Oklahoma County, Oklahoma",797434
2186,".Okmulgee County, Oklahoma",38465
2187,".Osage County, Oklahoma",46963
2188,".Ottawa County, Oklahoma",31127
2189,".Pawnee County, Oklahoma",16376
2190,".Payne County, Oklahoma",81784
2191,".Pittsburg County, Oklahoma",43654
2192,".Pontotoc County, Oklahoma",38284
2193,".Pottawatomie County, Oklahoma",72592
2194,".Pushmataha County, Oklahoma",11096
2195,".Roger Mills County, Oklahoma",3583
2196,".Rogers County, Oklahoma",92459
2197,".Seminole County, Oklahoma",24258
2198,".Sequoyah County, Oklahoma",41569
2199,".Stephens County, Oklahoma",43143
2200,".Texas County, Oklahoma",19983
2201,".Tillman County, Oklahoma",7250
2202,".Tulsa County, Oklahoma",651552
2203,".Wagoner County, Oklahoma",81289
2204,".Washington County, Oklahoma",51527
2205,".Washita County, Oklahoma",10916
2206,".Woods County, Oklahoma",8793
2207,".Woodward County, Oklahoma",20211
2208,".Baker County, Oregon",16124
2209,".Benton County, Oregon",93053
2210,".Clackamas County, Oregon",418187
2211,".Clatsop County, Oregon",40224
2212,".Columbia County, Oregon",52354
2213,".Coos County, Oregon",64487
2214,".Crook County, Oregon",24404
2215,".Curry County, Oregon",22925
2216,".Deschutes County, Oregon",197692
2217,".Douglas County, Oregon",110980
2218,".Gilliam County, Oregon",1912
2219,".Grant County, Oregon",7199
2220,".Harney County, Oregon",7393
2221,".Hood River County, Oregon",23382
2222,".Jackson County, Oregon",220944
2223,".Jefferson County, Oregon",24658
2224,".Josephine County, Oregon",87487
2225,".Klamath County, Oregon",68238
2226,".Lake County, Oregon",7869
2227,".Lane County, Oregon",382067
2228,".Lincoln County, Oregon",49962
2229,".Linn County, Oregon",129749
2230,".Malheur County, Oregon",30571
2231,".Marion County, Oregon",347818
2232,".Morrow County, Oregon",11603
2233,".Multnomah County, Oregon",812855
2234,".Polk County, Oregon",86085
2235,".Sherman County, Oregon",1780
2236,".Tillamook County, Oregon",27036
2237,".Umatilla County, Oregon",77950
2238,".Union County, Oregon",26835
2239,".Wallowa County, Oregon",7208
2240,".Wasco County, Oregon",26682
2241,".Washington County, Oregon",601592
2242,".Wheeler County, Oregon",1332
2243,".Yamhill County, Oregon",107100
2244,".Adams County, Pennsylvania",103009
2245,".Allegheny County, Pennsylvania",1216045
2246,".Armstrong County, Pennsylvania",64735
2247,".Beaver County, Pennsylvania",163929
2248,".Bedford County, Pennsylvania",47888
2249,".Berks County, Pennsylvania",421164
2250,".Blair County, Pennsylvania",121829
2251,".Bradford County, Pennsylvania",60323
2252,".Bucks County, Pennsylvania",628270
2253,".Butler County, Pennsylvania",187853
2254,".Cambria County, Pennsylvania",130192
2255,".Cameron County, Pennsylvania",4447
2256,".Carbon County, Pennsylvania",64182
2257,".Centre County, Pennsylvania",162385
2258,".Chester County, Pennsylvania",524989
2259,".Clarion County, Pennsylvania",38438
2260,".Clearfield County, Pennsylvania",79255
2261,".Clinton County, Pennsylvania",38632
2262,".Columbia County, Pennsylvania",64964
2263,".Crawford County, Pennsylvania",84629
2264,".Cumberland County, Pennsylvania",253370
2265,".Dauphin County, Pennsylvania",278299
2266,".Delaware County, Pennsylvania",566747
2267,".Elk County, Pennsylvania",29910
2268,".Erie County, Pennsylvania",269728
2269,".Fayette County, Pennsylvania",129274
2270,".Forest County, Pennsylvania",7247
2271,".Franklin County, Pennsylvania",155027
2272,".Fulton County, Pennsylvania",14530
2273,".Greene County, Pennsylvania",36233
2274,".Huntingdon County, Pennsylvania",45144
2275,".Indiana County, Pennsylvania",84073
2276,".Jefferson County, Pennsylvania",43425
2277,".Juniata County, Pennsylvania",24763
2278,".Lackawanna County, Pennsylvania",209674
2279,".Lancaster County, Pennsylvania",545724
2280,".Lawrence County, Pennsylvania",85512
2281,".Lebanon County, Pennsylvania",141793
2282,".Lehigh County, Pennsylvania",369318
2283,".Luzerne County, Pennsylvania",317417
2284,".Lycoming County, Pennsylvania",113299
2285,".McKean County, Pennsylvania",40625
2286,".Mercer County, Pennsylvania",109424
2287,".Mifflin County, Pennsylvania",46138
2288,".Monroe County, Pennsylvania",170271
2289,".Montgomery County, Pennsylvania",830915
2290,".Montour County, Pennsylvania",18230
2291,".Northampton County, Pennsylvania",305285
2292,".Northumberland County, Pennsylvania",90843
2293,".Perry County, Pennsylvania",46272
2294,".Philadelphia County, Pennsylvania",1584064
2295,".Pike County, Pennsylvania",55809
2296,".Potter County, Pennsylvania",16526
2297,".Schuylkill County, Pennsylvania",141359
2298,".Snyder County, Pennsylvania",40372
2299,".Somerset County, Pennsylvania",73447
2300,".Sullivan County, Pennsylvania",6066
2301,".Susquehanna County, Pennsylvania",40328
2302,".Tioga County, Pennsylvania",40591
2303,".Union County, Pennsylvania",44923
2304,".Venango County, Pennsylvania",50668
2305,".Warren County, Pennsylvania",39191
2306,".Washington County, Pennsylvania",206865
2307,".Wayne County, Pennsylvania",51361
2308,".Westmoreland County, Pennsylvania",348899
2309,".Wyoming County, Pennsylvania",26794
2310,".York County, Pennsylvania",449058
2311,".Bristol County, Rhode Island",48479
2312,".Kent County, Rhode Island",164292
2313,".Newport County, Rhode Island",82082
2314,".Providence County, Rhode Island",638931
2315,".Washington County, Rhode Island",125577
2316,".Abbeville County, South Carolina",24527
2317,".Aiken County, South Carolina",170872
2318,".Allendale County, South Carolina",8688
